View,Clip_ID,Total_Skeletons,Total_Frames,Diff,Start_Frame_ID,End_Frame_ID,Missing_start,Missing_end,Missing%,
view_1,a01_s01_e00,44,44,0,167,210,,,0,
view_1,a01_s01_e01,47,47,0,397,443,,,0,
view_1,a01_s01_e02,64,64,0,510,573,,,0,
view_1,a01_s01_e03,51,51,0,905,955,,,0,
view_1,a01_s01_e04,46,46,0,1100,1145,,,0,
view_1,a01_s02_e00,25,25,0,152,176,,,0,
view_1,a01_s02_e01,32,32,0,329,360,,,0,
view_1,a01_s02_e02,33,33,0,510,542,,,0,
view_1,a01_s02_e03,31,31,0,709,739,,,0,
view_1,a01_s02_e04,19,19,0,887,905,,,0,
view_1,a01_s03_e00,25,25,0,236,260,,,0,
view_1,a01_s03_e01,53,53,0,496,548,,,0,
view_1,a01_s03_e02,51,51,0,1010,1060,,,0,
view_1,a01_s03_e03,41,41,0,1220,1260,,,0,
view_1,a01_s03_e04,54,54,0,1357,1410,,,0,
view_1,a01_s04_e00,21,21,0,170,190,,,0,
view_1,a01_s04_e01,41,41,0,270,310,,,0,
view_1,a01_s04_e02,44,44,0,547,590,,,0,
view_1,a01_s04_e03,58,58,0,683,740,,,0,
view_1,a01_s04_e04,31,31,0,850,880,,,0,
view_1,a01_s04_e05,20,20,0,991,1010,,,0,
view_1,a01_s05_e00,83,83,0,100,182,,,0,
view_1,a01_s05_e01,54,54,0,417,470,,,0,
view_1,a01_s05_e02,51,51,0,715,765,,,0,
view_1,a01_s05_e03,51,51,0,1000,1050,,,0,
view_1,a01_s05_e04,46,46,0,1260,1305,,,0,
view_1,a01_s06_e00,36,36,0,480,515,,,0,
view_1,a01_s06_e01,35,35,0,600,634,,,0,
view_1,a01_s06_e02,28,28,0,723,750,,,0,
view_1,a01_s06_e03,21,21,0,862,882,,,0,
view_1,a01_s06_e04,24,24,0,994,1017,,,0,
view_1,a01_s07_e00,35,35,0,317,351,,,0,
view_1,a01_s07_e01,31,31,0,790,820,,,0,
view_1,a01_s07_e02,35,35,0,1038,1072,,,0,
view_1,a01_s07_e03,39,39,0,1306,1344,,,0,
view_1,a01_s07_e04,34,34,0,1543,1576,,,0,
view_1,a01_s08_e00,42,21,-21,230,250,,,0,
view_1,a01_s08_e01,19,19,0,307,325,,,0,
view_1,a01_s08_e02,202,115,-87,420,534,,,0,
view_1,a01_s08_e03,64,36,-28,593,628,,,0,
view_1,a01_s08_e04,34,34,0,989,1022,,,0,
view_1,a01_s08_e05,63,63,0,1260,1322,,,0,
view_1,a01_s08_e06,27,27,0,1444,1470,,,0,
view_1,a01_s09_e00,37,37,0,222,258,,,0,
view_1,a01_s09_e01,38,38,0,488,525,,,0,
view_1,a01_s09_e02,32,32,0,702,733,,,0,
view_1,a01_s09_e03,35,35,0,912,946,,,0,
view_1,a01_s09_e04,25,25,0,1083,1107,,,0,
view_1,a01_s10_e00,36,36,0,65,100,,,0,
view_1,a01_s10_e01,36,36,0,215,250,215,217,8.333333333,
view_1,a01_s10_e02,50,50,0,336,385,,,0,
view_1,a01_s10_e03,36,36,0,495,530,495,498,11.11111111,
view_1,a01_s10_e04,70,70,0,741,810,,,0,
view_1,a02_s01_e00,55,55,0,100,154,,,0,
view_1,a02_s01_e01,59,59,0,228,286,,,0,
view_1,a02_s01_e02,69,69,0,350,418,,,0,
view_1,a02_s01_e03,76,76,0,471,546,,,0,
view_1,a02_s01_e04,31,31,0,640,670,,,0,
view_1,a02_s02_e00,57,57,0,86,142,,,0,
view_1,a02_s02_e01,35,35,0,287,321,,,0,
view_1,a02_s02_e02,53,53,0,400,452,,,0,
view_1,a02_s02_e03,41,41,0,551,591,,,0,
view_1,a02_s02_e04,36,36,0,705,740,,,0,
view_1,a02_s03_e00,86,86,0,80,165,,,0,
view_1,a02_s03_e01,50,50,0,301,350,,,0,
view_1,a02_s03_e02,50,50,0,496,545,,,0,
view_1,a02_s03_e03,56,56,0,665,720,,,0,
view_1,a02_s03_e04,51,51,0,886,936,,,0,
view_1,a02_s04_e00,51,51,0,100,150,,,0,
view_1,a02_s04_e01,55,55,0,276,330,,,0,
view_1,a02_s04_e02,29,29,0,617,645,,,0,
view_1,a02_s04_e03,28,28,0,743,770,,,0,
view_1,a02_s04_e04,44,44,0,885,928,,,0,
view_1,a02_s05_e00,26,26,0,120,145,,,0,
view_1,a02_s05_e01,58,58,0,288,345,,,0,
view_1,a02_s05_e02,30,30,0,506,535,,,0,
view_1,a02_s05_e03,41,41,0,700,740,,,0,
view_1,a02_s05_e04,31,31,0,890,920,,,0,
view_1,a02_s06_e00,32,32,0,41,72,,,0,
view_1,a02_s06_e01,25,25,0,142,166,,,0,
view_1,a02_s06_e02,25,25,0,230,254,,,0,
view_1,a02_s06_e03,35,35,0,322,356,,,0,
